,brand,jenis,bentuk_formula
1463,MICROLEEF,Lainnya,Butiran (Granular)
1464,KENCANA MAS,Kaptan,Tepung (Powder)
1465,FERTILA,NPK padat,Butiran (Granular)
1466,838,Organik,Cair (Liquid)
1467,Healthy Crop Kalsium,Lainnya,Cair (Liquid)
1468,Logo T,Pupuk Organik,Tepung (Powder)
1469,GREENWORLD,Hayati Majemuk,Tepung (Powder)
1470,Biolis,Hayati Majemuk,Cair (Liquid)
1471,PUPUKTA,Pupuk Organik,Cair (Liquid)
1472,ARJUNA,NPK padat,Butiran (Granular)
1473,SUPRATAN,Lainnya,Cair (Liquid)
1474,Mukti Hasil,Pupuk Organik,Butiran (Granular)
1475,Eco Land,Pupuk Organik,Butiran (Granular)
1476,ATHAgrow,Pupuk Organik,Cair (Liquid)
1477,Sejahtera,Pupuk Organik,Butiran (Granular)
1478,DOMEDA,Pupuk Organik,Lain-lainnya
1479,Mentari,Kalium Klorida (KCl),Tepung (Powder)
1480,FERTI BEST,NPK padat,Butiran (Granular)
1481,NUNG THE WANG,Pupuk Organik,Cair (Liquid)
1482,GADING MAS,Pupuk Organik,Butiran (Granular)
1483,BIO SSN 3,Pupuk Organik,Cair (Liquid)
1484,Cendana Plus,Pupuk Organik,Cair (Liquid)
1485,FERTICOMP,NPK padat,Butiran (Granular)
1486,ROJOLADANGTANI,Pupuk Organik,Cair (Liquid)
1487,EMH – Energy Makro Hayati,Hayati Majemuk,Cair (Liquid)
1488,MARINEPHOS,Fosfat Alam untuk pertanian,Butiran (Granular)
1489,MIKROSTAR,Lainnya,Tepung (Powder)
1490,SPEED EXTRA PERTALITE,Lainnya,Cair (Liquid)
1491,POMI,Hayati Majemuk,Tepung (Powder)
1492,Bellagio,NPK padat,Tepung (Powder)
1493,PAK TANI,NPK padat,Butiran (Granular)
1494,BAC-MIX,Hayati Majemuk,Cair (Liquid)
1495,KBS - SSB SAKTI SANGGA BUMI,Pupuk Organik,Cair (Liquid)
1496,PRODAS PLUS,Lainnya,Cair (Liquid)
1497,XtraPhos (XP),Single Super Phosphate (SSP),Butiran (Granular)
1498,LODRIN,NPK padat,Butiran (Granular)
1499,VERZER 23,Lainnya,Tepung (Powder)
1500,DAUN SAWIT,NPK padat,Tepung (Powder)
1501,GREEN TOGROW,Pupuk Organik,Cair (Liquid)
1502,PETRO BIO FERTIL,Hayati Majemuk,Butiran (Granular)
1503,Gandastar,Lainnya,Cair (Liquid)
1504,BENDERA,Kaptan,Lain-lainnya
1505,K-PLANTOL,Lainnya,Cair (Liquid)
1506,Cap Bunga Merah,NPK padat,Butiran (Granular)
1507,FT,Kalium Klorida (KCl),Tepung (Powder)
1508,BOMA SAKTI PRIMA - 27,Dolomit,Butiran (Granular)
1509,MEGA_BIO G,Pupuk Organik,Butiran (Granular)
1510,Bio Zee,Hayati Majemuk,Cair (Liquid)
1511,NUTRI-COMP D,NPK padat,Tepung (Powder)
1512,FIXSIN,Lainnya,Tepung (Powder)
1513,GIGA GROW,Pupuk Organik,Cair (Liquid)
1514,MAMAGROW,Hara Makro Majemuk,Cair (Liquid)
1515,Palm Care,NPK padat,Lain-lainnya
1516,PUPUK KUJANG,NPK padat,Tepung (Powder)
1517,DAUN SAWIT,NPK padat,Butiran (Granular)
1518,MEGA_BIO-MYCOR,Pupuk Organik,Lain-lainnya
1519,CAP TANI JAYA,Amonium Sulfat (ZA),Butiran (Granular)
1520,EXCLUSIVE,Lainnya,Butiran (Granular)
1521,MICROFERTI STAND,Hara Makro Majemuk,Cair (Liquid)
1522,SANTAGROW LOUBANG,Lainnya,Cair (Liquid)
1523,ANVA,Dolomit,Butiran (Granular)
1524,"EBIONIK,ml",Pupuk Organik,Cair (Liquid)
1525,AKTIV,Pupuk Organik,Cair (Liquid)
1526,pomalbiorhyzo,Hayati Majemuk,Cair (Liquid)
1527,MIKROPRIMA,Dolomit,Tepung (Powder)
1528,SEMOK,Pupuk Organik,Cair (Liquid)
1529,SANTAGROW,Lainnya,Prill
1530,Biomagfertil,Pupuk Organik,Tepung (Powder)
1531,BIOR,Pupuk Organik,Cair (Liquid)
1532,COKRO JOYO,Dolomit,Tepung (Powder)
1533,D 52,Dolomit,Tepung (Powder)
1534,BIO RAMOSDO,Pupuk Organik,Tepung (Powder)
1535,SAE Grow,Lainnya,Tepung (Powder)
1536,Mahkota Fertilizer,NPK padat,Butiran (Granular)
1537,PETROPHOS,Diammonium Phosphate,Butiran (Granular)
1538,Yahut,Pupuk Organik,Butiran (Granular)
1539,Fajarmas,Pupuk Organik,Tepung (Powder)
1540,AGRIVERE,Lainnya,Butiran (Granular)
1541,BOSSQUE,Lainnya,Cair (Liquid)
1542,AKASIA,Fosfat Alam untuk pertanian,Tepung (Powder)
1543,Mentari,NPK padat,Butiran (Granular)
1544,BIO HYT,Hayati Majemuk,Cair (Liquid)
1545,Ribost,Pupuk Organik,Cair (Liquid)
1546,Nufos-K,Pupuk Organik,Cair (Liquid)
1547,FertiNas,Fosfat Alam untuk pertanian,Butiran (Granular)
1548,PENNA,Pupuk Organik,Cair (Liquid)
1549,Berti Plus,Hayati Majemuk,Cair (Liquid)
1550,FITOMIC PLUS,Lainnya,Cair (Liquid)
1551,Humat Jitu,Pupuk Organik,Cair (Liquid)
1552,RAPTHANE ,Lainnya,Cair (Liquid)
1553,JATI WANGI,NPK padat,Butiran (Granular)
1554,PHOSKAMAS,Dolomit,Butiran (Granular)
1555,EmbunTani,Lainnya,Butiran (Granular)
1556,DUPAN,NPK padat,Tablet
1557,K-CLIN WHITE,Lainnya,Lain-lainnya
1558,RAPIDGRO,NPK padat,Tepung (Powder)
1559,COPPERTRIS,Lainnya,Tepung (Powder)
1560,BIO-E GEN,Hayati Majemuk,Cair (Liquid)
1561,FT,NPK padat,Butiran (Granular)
1562,AMONG TANI,NPK padat,Butiran (Granular)
1563,MORDEN-FOL,Lainnya,Cair (Liquid)
1564,SAWIT BAKAPINDO,Kaptan,Tepung (Powder)
1565,BAPAK IBU TANI,Lainnya,Tepung (Powder)
1566,HANTU Hormon Tanaman Unggul,Hayati Majemuk,Cair (Liquid)
1567,GRAY,Pupuk Organik,Tepung (Powder)
1568,Pupuk Indonesia Holding Company Phonska Plus,NPK padat,Butiran (Granular)
1569,LOGO,Lainnya,Tepung (Powder)
1570,Supra A,Pupuk Organik,Lain-lainnya
1571,Gypblend,Hara Makro Majemuk,Butiran (Granular)
1572,SUPAR DB,Hara Makro Majemuk,Cair (Liquid)
1573,BIO POT,Pupuk Organik,Tepung (Powder)
1574,RUSSELL FERTILIZER,NPK padat,Butiran (Granular)
1575,IMPETUS,NPK padat,Butiran (Granular)
1576,SINAR GUNUNG,Dolomit,Butiran (Granular)
1577,EMIGRO,Lainnya,Tepung (Powder)
1578,EFFECTIVE MICROORGANISM 4 (EM4),Hayati Majemuk,Cair (Liquid)
1579,K- SIWIDSOL,Hara Makro Majemuk,Cair (Liquid)
1580,COCKHEAD,NPK padat,Butiran (Granular)
1581,CPN PAK TANI,Hara Makro Majemuk,Prill
1582,ZETKA,Lainnya,Tepung (Powder)
1583,OKURA EMAS,NPK padat,Butiran (Granular)
1584,GREEN PHOSKA,Dolomit,Butiran (Granular)
1585,GRHA,Dolomit,Tepung (Powder)
1586,Mentari,NPK padat,Butiran (Granular)
1587,PETRO NITRAT,NPK padat,Butiran (Granular)
1588,NIWATORI ,Pupuk Organik,Tepung (Powder)
1589,MULTIDAYA,Fosfat Alam untuk pertanian,Butiran (Granular)
1590,SAMPPI,Lainnya,Cair (Liquid)
1591,BIOFOR,Hayati Majemuk,Cair (Liquid)
1592,NODUL PLUS,Hayati Majemuk,Lain-lainnya
1593,TrichoSAN,Hayati Majemuk,Tepung (Powder)
1594,LODRIN,Lainnya,Butiran (Granular)
1595,kover wp,Lainnya,Tepung (Powder)
1596,FERTINDO,NPK padat,Butiran (Granular)
1597,SATO-KALI SPECIAL OP YEAR-1,NPK padat,Butiran (Granular)
1598,EVAPROS,Hayati Majemuk,Cair (Liquid)
1599,TURBO MAX,Hayati Majemuk,Cair (Liquid)
1600,RADJAWALI PHOS,Dolomit,Butiran (Granular)
1601,BLAZE NATURA,Pupuk Organik,Cair (Liquid)
1602,Magrimax,Lainnya,Butiran (Granular)
1603,BERUANG MAS,Dolomit,Tepung (Powder)
1604,BLAUKORN,NPK padat,Butiran (Granular)
1605,Daun Sawit,Kalium Klorida (KCl),Butiran (Granular)
1606,SAPROMIX,Hara Makro Majemuk,Cair (Liquid)
1607,BRAND K,Lainnya,Lain-lainnya
1608,SAWIT BAKAPINDO,Dolomit,Tepung (Powder)
1609,GreenWay,Hayati Majemuk,Cair (Liquid)
1610,BEENTRUBUS,Lainnya,Cair (Liquid)
1611,LOONGZOU,Kalium Klorida (KCl),Tepung (Powder)
1612,blue ORGANIC,Pupuk Organik,Cair (Liquid)
1613,Daun Buah,Urea,Butiran (Granular)
1614,SDLFert,NPK padat,Tablet
1615,SA-MICRO 25,Lainnya,Butiran (Granular)
1616,REGEN,Pupuk Organik,Cair (Liquid)
1617,CAKRA PANDAWA,Hara Makro Majemuk,Lain-lainnya
1618,Petrokimia Gresik,Pupuk Organik,Lain-lainnya
1619,BINTANG PRIMA,NPK padat,Butiran (Granular)
1620,ECO FARMING PREMIUM,Pupuk Organik,Lain-lainnya
1621,FT,NPK padat,Butiran (Granular)
1622,AMINOSTRONG,Pupuk Organik,Cair (Liquid)
1623,FERTICOMP,NPK padat,Butiran (Granular)
1624,KUMBANG MAS,NPK padat,Butiran (Granular)
1625,CAL-HA,Lainnya,Tepung (Powder)
1626,javagreen,Fosfat Alam untuk pertanian,Butiran (Granular)
1627,KARATE PLUS BORONI,Calsium Nitrat,Butiran (Granular)
1628,UNIMAG,Dolomit,Tepung (Powder)
1629,Gandapan Sublima,Hara Makro Majemuk,Tepung (Powder)
1630,PULLET,NPK padat,Butiran (Granular)
1631,B-Gold,Hayati Majemuk,Butiran (Granular)
1632,ECO FOREST,Pupuk Organik,Cair (Liquid)
1633,LERES,Hara Makro Majemuk,Tepung (Powder)
1634,Bellagio,NPK padat,Tepung (Powder)
1635,HUMASAM,Senyawa Humat,Cair (Liquid)
1636,GoldSiPhos,Dolomit,Butiran (Granular)
1637,PALMO,NPK padat,Lain-lainnya
1638,NUTRISI WIJAYA KUSUMA,Hayati Majemuk,Cair (Liquid)
1639,SIDO PANEN,Pupuk Organik,Cair (Liquid)
1640,HIGHPHOS,Fosfat Alam untuk pertanian,Butiran (Granular)
1641,PALAPA,Dolomit,Butiran (Granular)
1642,FUMYCO,Hayati Tunggal,Butiran (Granular)
1643,SIRIWANGI,NPK padat,Butiran (Granular)
1644,Agrobost,Hayati Majemuk,Cair (Liquid)
1645,NUTRIFOREST,NPK padat,Butiran (Granular)
1646,ABABIL,Lainnya,Tepung (Powder)
1647,NutriTop,NPK padat,Tepung (Powder)
1648,BUMI IJO,Kalium Klorida (KCl),Butiran (Granular)
1649,K.L.O.F,Pupuk Organik,Butiran (Granular)
1650,CAP TAWON,Mono Potassium Phosphate,Tepung (Powder)
1651,GREENWORLD,Hayati Majemuk,Cair (Liquid)
1652,JADI MAS,NPK padat,Butiran (Granular)
1653,CAPING MAS,Pupuk Organik,Cair (Liquid)
1654,BAPAK IBU TANI,Lainnya,Butiran (Granular)
1655,OSTINDO Back to The Nature,Pupuk Organik,Tepung (Powder)
1656,PUPUK KUJANG,NPK padat,Prill
1657,MULTI KP,Hara Makro Majemuk,Tepung (Powder)
1658,ZEBA,Lain - lainnya.,Butiran (Granular)
1659,PAK TANI,Amonium Sulfat (ZA),Butiran (Granular)
1660,BAMBU IJO,Pupuk Organik,Cair (Liquid)
1661,SBK 848,Lainnya,Cair (Liquid)
1662,SanBlend,NPK padat,Butiran (Granular)
1663,LOONGZOU,Amonium Sulfat (ZA),Lain-lainnya
1664,Gugguto,Pupuk Organik,Cair (Liquid)
1665,BUMI IJO,Ammonium chlorida,Lain-lainnya
1666,BALASSER,Lainnya,Cair (Liquid)
1667,Eco Land,Hayati Majemuk,Cair (Liquid)
1668,FT,Mono Ammonium Phosphate,Tepung (Powder)
1669,BIO 7,Hayati Majemuk,Cair (Liquid)
1670,GOODCAL,Lainnya,Cair (Liquid)
1671,Agro ZYME,Hayati Majemuk,Cair (Liquid)
1672,KOZA,Hara Makro Majemuk,Tepung (Powder)
1673,YIELDER,NPK padat,Butiran (Granular)
1674,Ga Pro,Lainnya,Cair (Liquid)
1675,Eco Fresh,Pupuk Organik,Cair (Liquid)
1676,Hanmajigi Gold,NPK padat,Butiran (Granular)
1677,NICA STAR,Dolomit,Butiran (Granular)
1678,GRO-MATE Ls,Pupuk Organik,Cair (Liquid)
1679,BOOSBLOOM,Pupuk Organik,Tepung (Powder)
1680,ABABIL,NPK padat,Butiran (Granular)
1681,PENNA,Dolomit,Tepung (Powder)
1682,TRIOKALI,Hara Makro Majemuk,Butiran (Granular)
1683,GLB,Hayati Majemuk,Tepung (Powder)
1684,GOLDEN LAND,Fosfat Alam untuk pertanian,Butiran (Granular)
1685,CAP TAWON,Calsium Nitrat,Butiran (Granular)
1686,YUHWANG POTATO FERTILIZER,NPK padat,Butiran (Granular)
1687,Mentari,Kalium Klorida (KCl),Butiran (Granular)
1688,FRUITKA,Lainnya,Tepung (Powder)
1689,PETROBOOST,Hayati Majemuk,Cair (Liquid)
1690,Mahkota Fertilizer,NPK padat,Butiran (Granular)
1691,ASTONISH,Hara Makro Majemuk,Cair (Liquid)
1692,APH BIO BIAGMA,Hayati Majemuk,Tepung (Powder)
1693,KILATAN,Lainnya,Cair (Liquid)
1694,PETRO GLADIATOR,Hayati Majemuk,Cair (Liquid)
1695,PUTRI,Lainnya,Tepung (Powder)
1696,AVATARA,Dolomit,Butiran (Granular)
1697,HumaTOP,Senyawa Humat,Tepung (Powder)
1698,BAPAK IBU TANI,NPK padat,Butiran (Granular)
1699,SPEEDGRO ,NPK padat,Tepung (Powder)
1700,MULTIFOR,Lainnya,Tepung (Powder)
1701,java,Lainnya,Tepung (Powder)
1702,Vitanik CONCENTRATE,Lainnya,Tepung (Powder)
1703,KIBO,Hayati Majemuk,Cair (Liquid)
1704,INDO BORON 46,Lainnya,Tepung (Powder)
1705,TRIPELIN ,NPK padat,Tepung (Powder)
1706,Mentari,Fosfat Alam untuk pertanian,Tepung (Powder)
1707,Mentari,NPK padat,Butiran (Granular)
1708,CENDRAWASIH,Dolomit,Butiran (Granular)
1709,SOIL BOOSTER,Hayati Majemuk,Cair (Liquid)
1710,Gandasil B,NPK padat,Tepung (Powder)
1711,higros calsium,Kaptan,Tepung (Powder)
1712,SATO-KALI OP+B,Hara Makro Majemuk,Butiran (Granular)
1713,PUPUK JOSS,Hayati Tunggal,Pelet
1714,BANON,Pupuk Organik,Cair (Liquid)
1715,AMAZINK,Hara Makro Majemuk,Cair (Liquid)
1716,YIELDER,NPK padat,Butiran (Granular)
1717,PUPINDO,NPK padat,Butiran (Granular)
1718,Sugih Tani,Pupuk Organik,Tepung (Powder)
1719,gfert,Fosfat Alam untuk pertanian,Tepung (Powder)
1720,SIDAPHONK,NPK padat,Butiran (Granular)
1721,KEBOMAS,NPK padat,Butiran (Granular)
1722,AMINOZOO,Pupuk Organik,Cair (Liquid)
1723,YARAMILA COMPLEX,NPK padat,Butiran (Granular)
1724,ECOBION,NPK padat,Butiran (Granular)
1725,NITROPHOSKA,NPK padat,Butiran (Granular)
1726,Starsil,Lainnya,Butiran (Granular)
1727,CAHAYA MAS,Dolomit,Butiran (Granular)
1728,BoshTop,Lainnya,Tepung (Powder)
1729,FT,Fosfat Alam untuk pertanian,Tepung (Powder)
1730,TAKESA,Pupuk Organik,Cair (Liquid)
1731,PROPUS,Lainnya,Cair (Liquid)
1732,AKIMA BIOSIL,Lainnya,Cair (Liquid)
1733,Terraphos,Pupuk Organik,Pelet
1734,RITRINA,Lainnya,Cair (Liquid)
1735,ATIGANIC,Pupuk Organik,Butiran (Granular)
1736,BOSTANI,Pupuk Organik,Cair (Liquid)
1737,Daun Sawit,Ammonium chlorida,Butiran (Granular)
1738,LIGHTER 17 WP,Hara Makro Majemuk,Lain-lainnya
1739,Sejatie,Lainnya,Tepung (Powder)
1740,Birdoff A,Lainnya,Cair (Liquid)
1741,CAKRA,Ammonium chlorida,Tepung (Powder)
1742,TESTAGRO,Pupuk Organik,Tepung (Powder)
1743,PSG,Fosfat Alam untuk pertanian,Butiran (Granular)
1744,ERTAN,Hara Makro Majemuk,Butiran (Granular)
1745,Mentari,Lainnya,Butiran (Granular)
1746,BENTENG TANI,Pupuk Organik,Cair (Liquid)
1747,BOMA SAKTI PRIMA - 27,Lainnya,Cair (Liquid)
1748,UNIMAG,Dolomit,Butiran (Granular)
1749,Ecofert,Hayati Majemuk,Butiran (Granular)
1750,BELLRUSS,NPK padat,Butiran (Granular)
1751,PLANTONIC MESS,Lainnya,Cair (Liquid)
1752,KEBOMAS,NPK padat,Butiran (Granular)
1753,JATI WANGI,NPK padat,Butiran (Granular)
1754,NPK BIAGMA FERTILIZER,NPK padat,Butiran (Granular)
1755,Tarum Bio Organo,Pupuk Organik,Cair (Liquid)
1756,OrganoTri,Hayati Majemuk,Tepung (Powder)
1757,NATURES99,NPK padat,Butiran (Granular)
1758,GOLDENSTAR,NPK padat,Tablet
1759,UTAH,NPK padat,Butiran (Granular)
1760,Green Agri ,Pupuk Organik,Cair (Liquid)
1761,KEBOMAS,NPK padat,Butiran (Granular)
1762,CAP DAUN,Kalium Klorida (KCl),Tepung (Powder)
1763,Cap Banteng,Kaptan,Tepung (Powder)
1764,DITYAGROW,Lainnya,Tepung (Powder)
1765,GLOfine Cap Harimau,Lainnya,Tepung (Powder)
1766,S-KALI SPECIAL OP YEAR-1,NPK padat,Butiran (Granular)
1767,Cihurip,Hayati Majemuk,Tepung (Powder)
1768,ARTHAGANIK,Pupuk Organik,Butiran (Granular)
1769,Bioland,Pupuk Organik,Cair (Liquid)
1770,LAO YING,Lainnya,Butiran (Granular)
1771,UNTA ,Hara Makro Majemuk,Butiran (Granular)
1772,NATURAL PLUS,Hara Makro Majemuk,Cair (Liquid)
1773,SHIMA,Lainnya,Tepung (Powder)
1774,GADING MAS,Dolomit,Tepung (Powder)
1775,PUPUK KUJANG,NPK padat,Prill
1776,Alvin Hidroponik Lestari,Lainnya,Cair (Liquid)
1777,DEMITRIHYDRO22,Hayati Majemuk,Cair (Liquid)
1778,Bukit Soeharto,Pupuk Organik,Lain-lainnya
1779,DAUN CENDANA,NPK padat,Butiran (Granular)
1780,MPw,Hayati Majemuk,Cair (Liquid)
1781,Suburkali BUTIR,Lainnya,Butiran (Granular)
1782,SanBlend,Lainnya,Tepung (Powder)
1783,TANIKAYA,Hayati Majemuk,Cair (Liquid)
1784,MM MANGGA MAS,Dolomit,Butiran (Granular)
1785,PUPUK RJ KAMERAN,Dolomit,Tepung (Powder)
1786,HX-MROPH,Kalium Klorida (KCl),Butiran (Granular)
1787,DECOHUMAT,Lain - lainnya.,Tepung (Powder)
1788,Folikel Cu-EDTA,Hara Micro Tunggal,Butiran (Granular)
1789,Kemala,Pupuk Organik,Butiran (Granular)
1790,LAO YING,Lainnya,Butiran (Granular)
1791,KING STONE,Dolomit,Tepung (Powder)
1792,ABABIL,Fosfat Alam untuk pertanian,Butiran (Granular)
1793,SAPI PETANI 36,Fosfat Alam untuk pertanian,Butiran (Granular)
1794,BION UP,Hayati Majemuk,Cair (Liquid)
1795,CALCIBOR,Lainnya,Cair (Liquid)
1796,Bravo Nature,Hayati Majemuk,Cair (Liquid)
1797,TM3,Dolomit,Tepung (Powder)
1798,T.C.P - 46,Lain - lainnya.,Butiran (Granular)
1799,AGRITAMA,NPK padat,Butiran (Granular)
1800,MULTIDAYA,Pupuk Organik,Lain-lainnya
1801,Calsus,Dolomit,Tepung (Powder)
1802,FT,NPK padat,Butiran (Granular)
1803,CAP TAWON,Fosfat Alam untuk pertanian,Tepung (Powder)
1804,DOSDET,Lainnya,Tepung (Powder)
1805,ALAM GRANULAR ,Dolomit,Butiran (Granular)
1806,DSC,Pupuk Organik,Cair (Liquid)
1807,BANANAS,NPK padat,Butiran (Granular)
1808,BINTANG TANI,Lainnya,Tepung (Powder)
1809,SiNutriHS,NPK padat,Butiran (Granular)
1810,DOLPHOS,Dolomit,Butiran (Granular)
1811,S O T,Pupuk Organik,Cair (Liquid)
1812,BIOAKTIVATOR ULTRAMIC,Hayati Majemuk,Cair (Liquid)
1813,SHOW,Lainnya,Cair (Liquid)
1814,GREENTOP,Lainnya,Cair (Liquid)
1815,LOONGZOU,Kalium Klorida (KCl),Butiran (Granular)
1816,LOB Soil Probiotic,Hayati Majemuk,Cair (Liquid)
1817,Vitaron SL,Lainnya,Cair (Liquid)
1818,FERTILA,NPK padat,Butiran (Granular)
1819,MENTARI,Lainnya,Butiran (Granular)
1820,No - Sam - Ta,Pupuk Organik,Tepung (Powder)
1821,RAPIDGRO,NPK padat,Butiran (Granular)
1822,suburmandiri,NPK padat,Butiran (Granular)
1823,KOMPOTA,Pupuk Organik,Tepung (Powder)
1824,LODRIN,Pupuk Organik,Butiran (Granular)
1825,java,NPK padat,Butiran (Granular)
1826,SPEEDGRO ,NPK padat,Tepung (Powder)
1827,PAK TANI,NPK padat,Butiran (Granular)
1828,KANCIL EMAS,NPK padat,Butiran (Granular)
1829,KEBOMAS,NPK padat,Butiran (Granular)
1830,PALMO,NPK padat,Lain-lainnya
1831,TURRIMAGOLD,NPK padat,Butiran (Granular)
1832,MIKROPLUS,Lainnya,Cair (Liquid)
1833,POHON SERAI,Dolomit,Tepung (Powder)
1834,ANTERO,Lainnya,Tepung (Powder)
1835,LODRIN,NPK padat,Butiran (Granular)
1836,PELANGI,NPK padat,Butiran (Granular)
1837,BUAMAX LITE,NPK padat,Butiran (Granular)
1838,Stargro,Hara Makro Majemuk,Cair (Liquid)
1839,INDO PHOSKA 15-15-15,Dolomit,Butiran (Granular)
1840,MULTIDAYA,NPK padat,Butiran (Granular)
1841,BACTOPLUS,Hayati Majemuk,Tepung (Powder)
1842,ANFUSH,Hayati Majemuk,Tepung (Powder)
1843,GLB,Pupuk Organik,Cair (Liquid)
1844,GREENWORLD,Pupuk Organik,Cair (Liquid)
1845,AGN LTE,Hayati Majemuk,Butiran (Granular)
1846,NOS CROP,Lainnya,Cair (Liquid)
1847,KUMORO BUMI,Pupuk Organik,Butiran (Granular)
1848,SR 46,Dolomit,Butiran (Granular)
1849,AGRITAMA,NPK padat,Butiran (Granular)
1850,GOLDEN NUTRIENT,Lainnya,Butiran (Granular)
1851,MerokeROCK,Fosfat Alam untuk pertanian,Tepung (Powder)
1852,BILLIZER,Pupuk Organik,Cair (Liquid)
1853,PESANGGEM,Pupuk Organik,Butiran (Granular)
1854,ANTIRON,Lainnya,Cair (Liquid)
1855,Bumi Ijo,Amonium Sulfat (ZA),Lain-lainnya
1856,MEKARINDO,Dolomit,Tepung (Powder)
1857,X-PANDER,Hara Makro Majemuk,Cair (Liquid)
1858,LAMOR,Hayati Tunggal,Cair (Liquid)
1859,DL 100,Dolomit,Tepung (Powder)
1860,EMCOTE,NPK padat,Butiran (Granular)
1861,SPK-36,Dolomit,Butiran (Granular)
1862,BUAH SAWIT,Dolomit,Butiran (Granular)
1863,GREATPHOS,Triple Super Fosfat (TSP),Tablet
1864,MagneWish,Lain - lainnya.,Tepung (Powder)
1865,BELLARUSIA,Lainnya,Lain-lainnya
1866,Pelangi JOS,NPK padat,Butiran (Granular)
1867,PURNAMA BIO,Lainnya,Butiran (Granular)
1868,DINDAGROW,Lainnya,Cair (Liquid)
1869,MENTARI,Fosfat Alam untuk pertanian,Tepung (Powder)
1870,BILLIZER,Hara Makro Majemuk,Butiran (Granular)
1871,RAWIT,Kaptan,Butiran (Granular)
1872,ORGAMI,Pupuk Organik,Cair (Liquid)
1873,PELANGI,NPK padat,Butiran (Granular)
1874,javagreen,Dolomit,Butiran (Granular)
1875,FORTAN B,Lainnya,Lain-lainnya
1876,UTAH,NPK padat,Butiran (Granular)
1877,PANCANUTRI,Pupuk Organik,Cair (Liquid)
1878,GOLDEN LAND,Amonium Sulfat (ZA),Lain-lainnya
1879,MULTIERA,NPK padat,Butiran (Granular)
1880,FERTICHO BLEND,Pupuk Organik,Cair (Liquid)
1881,APH BIO BIAGMA,Pupuk Organik,Cair (Liquid)
1882,Omya Calciprill,Kaptan,Butiran (Granular)
1883,BAPAK-IBU TANI,Ammonium chlorida,Butiran (Granular)
1884,Mekar Plus,Hara Makro Majemuk,Tepung (Powder)
1885,BIO SSN 4,Hayati Majemuk,Cair (Liquid)
1886,Turan,Lainnya,Cair (Liquid)
1887,Octabacter,Pupuk Organik,Tepung (Powder)
1888,TSPA KUDA,NPK padat,Butiran (Granular)
1889,CEMPAKA,Pupuk Organik,Cair (Liquid)
1890,Mahkota ,Lainnya,Tepung (Powder)
1891,GENPHOSKA,Dolomit,Butiran (Granular)
1892,PADIVIT,NPK padat,Tepung (Powder)
1893,MULTI K-Mg,Hara Makro Majemuk,Tepung (Powder)
1894,BANTAL,NPK padat,Tepung (Powder)
1895,PHONIKA,NPK padat,Butiran (Granular)
1896,YaraLiva TROPICOTE,Calsium Nitrat,Butiran (Granular)
1897,Isaru,Pupuk Organik,Pelet
1898,AV COTE,NPK padat,Lain-lainnya
1899,MULYA TANI,Hayati Majemuk,Cair (Liquid)
1900,FORTUBORE,Hara Micro Premier Tunggal,Butiran (Granular)
1901,AGUNG LENGKAP PRATAMA (API),Lainnya,Butiran (Granular)
1902,BLESS,NPK padat,Butiran (Granular)
1903,MICSUCO,Lainnya,Tepung (Powder)
1904,PAK TANI,NPK padat,Butiran (Granular)
1905,SUMMA SR,Pupuk Organik,Tepung (Powder)
1906,RINDU PLUS,Lainnya,Cair (Liquid)
1907,HATTARA PLUS,Lainnya,Butiran (Granular)
1908,HARACOAT,NPK padat,Butiran (Granular)
1909,MEKARINDO,Dolomit,Butiran (Granular)
1910,SARI BUMI SIDAYU,Dolomit,Tepung (Powder)
1911,MerokeMIKRO,Hara Micro Tunggal,Tepung (Powder)
1912,DAUN SAWIT,Fosfat Alam untuk pertanian,Tepung (Powder)
1913,SS,NPK padat,Butiran (Granular)
1914,POSPORINDOSMG,Lainnya,Butiran (Granular)
1915,MABAR GREEN,Hara Makro Majemuk,Tepung (Powder)
1916,TURBO Eksekutive 168,Pupuk Organik,Cair (Liquid)
1917,GDM,Lain - lainnya.,Butiran (Granular)
1918,infarm,Pupuk Organik,Cair (Liquid)
1919,GRO,NPK padat,Tepung (Powder)
1920,BUAMAX,NPK padat,Butiran (Granular)
1921,Mentari,Lainnya,Tepung (Powder)
1922,SEPRINT,Lainnya,Cair (Liquid)
1923,Naturebio,Lain - lainnya.,Lain-lainnya
1924,PUHAY GOLD,Dolomit,Tepung (Powder)
1925,TUGU MAKMUR INTRAPHOS 3.6,Dolomit,Butiran (Granular)
1926,NITRO DI AMINE,Lainnya,Prill
1927,TANIKU,Pupuk Organik,Butiran (Granular)
1928,Nitrocalphos,Dolomit,Butiran (Granular)
1929,GENSTICK,Lainnya,Cair (Liquid)
1930,MASTER CALL,Dolomit,Tepung (Powder)
1931,COCKHEAD,NPK padat,Butiran (Granular)
1932,GOLDENMAX,Lainnya,Tepung (Powder)
1933,SAN Bio,Hayati Majemuk,Tepung (Powder)
1934,TAKESA,Pupuk Organik,Butiran (Granular)
1935,CAKRA,Lainnya,Butiran (Granular)
1936,JATI WANGI,NPK padat,Butiran (Granular)
1937,BIOBUS,Pupuk Hayati,Tepung (Powder)
1938,SPEEDGRO ,NPK padat,Tepung (Powder)
1939,AGROBLEN,NPK padat,Butiran (Granular)
1940,Bananas,Dolomit,Butiran (Granular)
