,brand,jenis,bentuk_formula
237,KITANG FERTILIZER,NPK padat,Butiran (Granular)
238,Plantagar,Pupuk Organik,Lain-lainnya
239,SOILMATE,NPK padat,Butiran (Granular)
240,TSPA SUPERKUDA,NPK padat,Butiran (Granular)
241,JSB,Lainnya,Lain-lainnya
242,BUAMAX,NPK padat,Butiran (Granular)
243,SoluMAG PREMIUM,Lainnya,Tepung (Powder)
244,CAKRA,Lainnya,Butiran (Granular)
245,NITRAGRO,Lainnya,Butiran (Granular)
246,QIUVITA,Pupuk Organik,Butiran (Granular)
247,PETRO,Amonium Sulfat (ZA),Lain-lainnya
248,MagFertil,Dolomit,Tepung (Powder)
249,FELO,NPK padat,Tepung (Powder)
250,DGW,NPK padat,Butiran (Granular)
251,EMCOTE,NPK padat,Butiran (Granular)
252,BIO-FAT,Hayati Majemuk,Cair (Liquid)
253,CAP WAYANG,NPK padat,Butiran (Granular)
254,CIRP PREMIUM - IKAN PAUS,Fosfat Alam untuk pertanian,Tepung (Powder)
255,SUMMA NF,Lainnya,Tepung (Powder)
256,PRIMEPHOS,Fosfat Alam untuk pertanian,Tepung (Powder)
257,BOOM FLOWER,Lainnya,Cair (Liquid)
258,BINTANG TANI,Fosfat Alam untuk pertanian,Tepung (Powder)
259,WINNER SP,Hayati Majemuk,Tepung (Powder)
260,TROFORTE,Hayati Majemuk,Butiran (Granular)
261,SANTAGROW,Lainnya,Cair (Liquid)
262,GreenWay,Hayati Majemuk,Tepung (Powder)
263,GOLDEN LAND,Lainnya,Lain-lainnya
264,STARCALS,Kaptan,Tepung (Powder)
265,SAFERTABAT 2,Pupuk Organik,Cair (Liquid)
266,SUPERACI,Pupuk Organik,Cair (Liquid)
267,NovaTec,NPK padat,Butiran (Granular)
268,HAROCKPHATE,Fosfat Alam untuk pertanian,Tepung (Powder)
269,ALAM RENCONG,Lainnya,Butiran (Granular)
270,PAK TANI,NPK padat,Butiran (Granular)
271,AMPLE,Hayati Tunggal,Cair (Liquid)
272,MULTIERA,NPK padat,Butiran (Granular)
273,LAO YING,Ammonium chlorida,Tepung (Powder)
274,MUTIARA RADJAWALI MAS,NPK padat,Butiran (Granular)
275,GROW MORE,NPK padat,Tepung (Powder)
276,PESTAGANIK,Pupuk Organik,Cair (Liquid)
277,AGRIMAS,Hara Makro Majemuk,Butiran (Granular)
278,TANDUK MAS,Dolomit,Butiran (Granular)
279,PALMO,NPK padat,Butiran (Granular)
280,FT,NPK padat,Butiran (Granular)
281,ZIRAEA,NPK padat,Butiran (Granular)
282,GRO-P,Hayati Majemuk,Cair (Liquid)
283,ABAH MERAK,Lainnya,Butiran (Granular)
